"protein__id","gene__name","lqf__Ampicillin__1","lqf__Ampicillin__2","lqf__Ampicillin__3","lqf__Cefotaxime__1","lqf__Cefotaxime__2","lqf__Cefotaxime__3","lqf__Impipenem__1","lqf__Impipenem__2","lqf__Impipenem__3","lqf__Ciprofloxacin__1","lqf__Ciprofloxacin__2","lqf__Ciprofloxacin__3","lqf__Control__1","lqf__Control__2","lqf__Control__3"
"P64519","yodD",26.6462,27.9375,26.996,27.3503,28.0257,29.2068,28.4776,27.8376,24.2977,24.3288,25.907,24.7354,27.5941,27.7385,28.503
"P64554","queE",24.5954,24.4114,23.5564,25.3395,25.3097,25.8876,25.9243,25.8433,24.9759,26.7954,25.4145,25.5272,24.6219,24.2602,24.9038
"P64559","cptB",25.4243,23.5088,23.9902,24.064,23.6347,27.7798,24.8124,23.2161,24.3172,27.7337,27.6225,27.8766,27.491,28.0654,24.3676
"P64581","yqjD",29.4605,30.1967,30.1554,28.7693,30.2334,28.9597,28.3982,28.1982,29.0257,27.6755,28.7168,28.2425,28.5724,29.175,29.1939
"P64588","yqjI",25.3478,25.0115,24.2621,24.5588,23.872,24.4074,25.4116,24.4853,24.2218,25.6916,24.4212,24.0421,23.765,25.3767,24.7968
"P64596","yraP",24.8483,24.3927,23.6144,24.5256,22.8642,23.3851,22.9808,23.7432,24.2764,24.4294,25.674,24.0256,23.1723,24.5808,23.5209
"P65367","yqcA",24.9162,24.4076,24.7134,23.6116,25.105,24.0721,23.8014,24.4164,24.12,23.1606,24.1522,24.9786,24.0728,24.0358,24.8163
"P65556","yfcD",26.8861,26.3609,26.424,26.5767,26.6869,26.849,26.6359,23.5597,25.8956,27.163,27.1399,26.6337,26.22,26.4794,25.9994
"P65870","queD",26.3323,24.3946,25.3252,23.8178,24.3623,23.4833,24.4343,24.841,24.381,25.421,25.6525,25.4006,25.0126,26.4785,26.1542
"P67080","yggS",25.8992,26.992,25.7708,26.3214,25.6195,26.7157,25.9707,27.0763,27.0013,26.8567,26.9741,27.2832,26.1128,26.7918,26.7029
"P67087","rsmI",23.3516,24.6941,24.6809,24.9067,24.0665,24.7021,25.9502,25.6501,24.2638,25.3702,25.59,25.6317,22.2333,24.9791,26.0278
"P67095","yfcE",24.0603,26.3909,26.7288,27.4298,28.0467,27.7846,26.7387,27.6824,25.5158,28.1054,26.881,26.8579,27.8203,27.5471,27.3498
"P67826","cutC",24.5353,24.9901,24.3257,23.0598,25.0451,24.997,25.2079,24.482,25.5308,24.6921,25.3008,24.6436,25.2735,25.2443,24.8551
"P67910","hldD",31.3559,31.08,31.1559,31.4075,31.2314,31.4203,31.0075,30.9101,30.9868,30.7291,31.1156,31.4108,31.203,31.1433,30.9695
"P68066","grcA",33.4486,32.7611,33.9682,33.3559,33.8176,33.5749,33.0158,33.1581,32.9638,34.3528,33.5789,33.5163,32.758,33.0858,32.9376
"P68191","sra",27.6968,26.775,29.0861,27.1907,28.1227,27.5639,27.5275,27.5825,28.0024,27.8258,28.4434,27.6543,26.7688,27.6151,27.8696
"P68206","yjbJ",30.7904,29.9071,31.6478,29.8013,30.6859,30.4066,29.8801,30.2787,29.8149,27.2324,29.0642,28.8042,29.9971,30.5607,31.1057
"P68679","rpsU",29.3568,29.4214,30.054,29.2754,29.9157,29.316,29.1059,29.0747,29.0298,29.991,29.5036,29.8618,29.3357,29.3349,29.2694
"P68767","pepA",29.687,29.7429,29.036,29.4909,28.9938,29.4583,30.1732,29.7252,29.912,29.5771,29.7886,29.7122,29.4804,30.1386,29.7356
"P68919","rplY",30.6182,30.7529,31.1322,30.8867,30.6681,30.5646,30.6238,30.6712,30.6402,31.2779,31.1639,31.5767,30.811,31.032,30.9671
"P69222","infA",26.8359,27.5173,27.4909,28.5228,27.5978,28.4292,28.3543,28.1046,27.5738,28.6584,28.328,28.2473,28.2276,28.8265,28.1361
"P69441","adk",31.34,30.7027,31.376,31.2244,31.3692,31.3102,31.2151,30.7541,31.0581,31.4587,31.2624,31.28,30.6329,30.7182,30.7071
"P69503","apt",28.7486,28.8607,28.8593,28.6039,28.3612,28.8122,28.7671,28.571,28.3666,29.111,29.0618,28.9909,28.5165,28.1078,28.3295
"P69776","lpp",25.646,25.1314,26.2099,25.3587,25.2911,26.106,24.5865,25.3693,26.7927,24.318,24.4293,24.6938,24.2015,25.2539,25.7437
"P69783","crr",33.4744,32.0105,33.8336,33.3447,33.4622,33.1101,31.8662,31.6266,32.9466,32.5471,30.9961,31.0506,31.9516,31.1236,32.3409
"P69797","manX",27.375,28.0772,26.7036,27.6472,26.5756,27.2083,27.4438,27.4605,27.0035,28.0082,27.1403,27.0801,28.0039,27.9085,28.1124
"P69811","fruB",26.8461,26.6106,26.7739,27.0432,26.3599,26.9733,26.1867,25.6986,25.6709,25.2641,25.9523,24.4528,26.6294,26.4897,26.4132
